profile	source_path	current_shape	merge_target	notes
coding	to-be-ready/examples/coding-agent-py	modular python demo	profiles/coding.json	Has BaseAgent, LLMClient, ConversationManager, CLI, Streamlit, python tools.
coding-base	to-be-ready/references/experiments/coding-agent-base	modular python experiment	profiles/coding.json	More complete workspace/file tool set than coding-agent-py.
coding-dify	to-be-ready/references/experiments/coding-dify	single-file python experiment	profiles/coding.json	Same coding-agent loop with Dify sandbox-oriented functions.
coding-diy	to-be-ready/references/experiments/coding-diy	single-file python experiment	profiles/coding.json	Same coding-agent loop with workspace/file functions.
data-agent	to-be-ready/examples/data-agent-demo	demo code with data under data/data-agent-demo	profiles/data_agent.json	Keep heavy data under data/data-agent-demo; port only DB/profile/search tools.
deep-research	to-be-ready/references/experiments/deep-research-aibox	research assistant experiment	profiles/deep_research.json	Contains query processor, Tavily wrapper, judge/evaluation flow.
function-calling	to-be-ready/references/experiments/function-calling	function-call scratch tests	profiles/function_calling.json	Useful as examples of tool schemas and multi-agent calls.
dag-workflow	to-be-ready/references/experiments/dag-workflow	DAG scratch tests	profiles/dag_workflow.json	Use as workflow-profile examples after core runtime exists.
memory	to-be-ready/references/experiments/memory	memory scratch tests	profiles/memory_agent.json	Merge with omniagent-py memory manager.
prompt-improve	to-be-ready/references/experiments/prompt-improve	prompt engineering assets	profiles/prompt_improve.json	Convert prompt docs and examples into profile assets.
rag-rat	to-be-ready/references/experiments/rag-rat	Streamlit/RAG/RAT experiments	profiles/rag_rat.json	Keep Streamlit as demo; port ReAct/RAG prompts later.
omniagent	to-be-ready/references/omniagent-py	python architecture reference	agents	Use design patterns, not as separate runtime long-term.
superagent-python-v1	to-be-ready/archive/superagent-py-v1	archived full copy	archive only	Extract selected tools/prompts only.
superagent-python-v2	to-be-ready/archive/superagent-py-v2	archived full copy	archive only	Extract selected tools/prompts only.
