old_path	new_path	status
references/SuperAgent/super-agent-go	to-be-ready/references/superagent-go	done
references/OmniAgent	to-be-ready/references/omniagent-py	done
coding/Sandbox	services/python-sandbox	done
data/Data-Agent/ Data-Agent-Demo	to-be-ready/examples/data-agent-demo + data/data-agent-demo	done
coding/Coding-Agent	to-be-ready/examples/coding-agent-py	done
data/Data-Agent/Spider2	/Users/berhand/program/Third-party/Agents-external/spider2	moved-external
references/SuperAgent/SuperAgent/n8n	/Users/berhand/program/Third-party/Agents-external/n8n-mcp-server	moved-external
references/RAT	to-be-ready/references/experiments/rag-rat	done
coding/Agent-base	to-be-ready/references/experiments/coding-agent-base	done
coding/dify	to-be-ready/references/experiments/coding-dify	done
coding/diy	to-be-ready/references/experiments/coding-diy	done
coding/python-sandbox	to-be-ready/references/experiments/python-sandbox-prototype	done
references/SuperAgent/SuperAgent	to-be-ready/archive/superagent-py-v1	done
references/SuperAgent/SuperAgent-v2	to-be-ready/archive/superagent-py-v2	done
coding/__pycache__	to-be-ready/archive/generated/coding-pycache	done
.idea	to-be-ready/archive/ide/Agents-idea	done
references/SuperAgent/.DS_Store	to-be-ready/archive/generated/SuperAgent.DS_Store	done
coding/.DS_Store	to-be-ready/archive/generated/coding.DS_Store	done
data/Data-Agent/.DS_Store	to-be-ready/archive/generated/Data-Agent.DS_Store	done
data/Data-Agent/ Data-Agent-Demo/.idea	to-be-ready/archive/ide/data-agent-demo-idea	done
richinfo/richinfo-test/Context	to-be-ready/references/experiments/context-rag	done
richinfo/richinfo-test/DAG	to-be-ready/references/experiments/dag-workflow	done
richinfo/richinfo-test/DR-Agents	to-be-ready/references/experiments/deep-research-aibox	done
richinfo/richinfo-test/function_call	to-be-ready/references/experiments/function-calling	done
richinfo/richinfo-test/memory	to-be-ready/references/experiments/memory	done
richinfo/richinfo-test/prompt-improve	to-be-ready/references/experiments/prompt-improve	done
richinfo/richinfo-test/agent_base_inside.py	to-be-ready/references/experiments/richinfo-agent-base/agent_base_inside.py	done
richinfo/richinfo-test/agent_base_share.py	to-be-ready/references/experiments/richinfo-agent-base/agent_base_share.py	done
richinfo/richinfo-test/项目结构说明.md	to-be-ready/references/experiments/richinfo-agent-base/项目结构说明.md	done
